Motions with difficulty > 2.0 (Rank 0):
Total high difficulty motions: 1541
Motion: HDM05_tr_HDM_tr_03-02_03_120_stageii.pkl, Difficulty: 10.00
Motion: HDM05_tr_HDM_tr_03-03_03_120_stageii.pkl, Difficulty: 10.00
Motion: HDM05_tr_HDM_tr_03-04_01_120_stageii.pkl, Difficulty: 10.00
Motion: HDM05_tr_HDM_tr_03-04_02_120_stageii.pkl, Difficulty: 10.00
Motion: HDM05_tr_HDM_tr_03-04_03_120_stageii.pkl, Difficulty: 10.00
Motion: HUMAN4D_Subject1_2_Aude_INF_PhysicalExamination_S1S2_02b_stageii.pkl, Difficulty: 10.00
Motion: HUMAN4D_Subject1_2_Aude_RGB_WatchingFootball_S1S2_02_stageii.pkl, Difficulty: 10.00
Motion: HUMAN4D_Subject1_2_Karim_INF_WatchingFootball_S1S2_01_stageii.pkl, Difficulty: 10.00
Motion: HUMAN4D_Subject1_2_Karim_RGB_Dancing_S1S2_02_stageii.pkl, Difficulty: 10.00
Motion: HUMAN4D_Subject1_Karim_INF_PunchingKicking_S1_01_stageii.pkl, Difficulty: 10.00
Motion: HUMAN4D_Subject1_Karim_INF_SittingStanding_S1_01_stageii.pkl, Difficulty: 10.00
Motion: HUMAN4D_Subject1_Karim_RGB_SitingStanding_S1_01_stageii.pkl, Difficulty: 10.00
Motion: HUMAN4D_Subject2_Aude_RGB_Basketball_S2_01_stageii.pkl, Difficulty: 10.00
Motion: HUMAN4D_Subject2_Aude_RGB_Talking_S2_01_stageii.pkl, Difficulty: 10.00
Motion: HUMAN4D_Subject2_Aude_RGB_WatchingScaryMovie_S2_01_stageii.pkl, Difficulty: 10.00
Motion: HUMAN4D_Subject3_4_Carine_INF_PhysicalExamination_S3S4_01_stageii.pkl, Difficulty: 10.00
Motion: HUMAN4D_Subject3_4_Carine_RGB_Dancing_S3S4_01_stageii.pkl, Difficulty: 10.00
